stress_axis,stress_level,method,seed,rows,task_success,correction_efficiency,damage,intervention_magnitude,boundary_error,intent_preservation,query_rate,human_time,unsafe_override,calibration_error,regret_to_oracle,intervention_sparsity,robust_utility
combined,0.0,active_entropy_query_policy,0,120,0.44167,0.73835,0.01667,0.21670,0.34043,0.67798,0.17500,0.06156,0.04167,0.14636,0.17088,0.61588,0.69993
combined,0.0,active_entropy_query_policy,1,120,0.39167,0.70574,0.03333,0.20757,0.32842,0.66224,0.16667,0.05894,0.05000,0.14649,0.16775,0.61978,0.63003
combined,0.0,active_entropy_query_policy,2,120,0.44167,0.76767,0.04167,0.23279,0.31389,0.67942,0.23333,0.08645,0.03333,0.14067,0.15975,0.60651,0.69431
combined,0.0,active_entropy_query_policy,3,120,0.48333,0.80727,0.00833,0.22014,0.35157,0.65835,0.13333,0.05146,0.02500,0.16429,0.18708,0.62592,0.76416
combined,0.0,active_entropy_query_policy,4,120,0.47500,0.82808,0.04167,0.22061,0.33664,0.67715,0.20833,0.07572,0.03333,0.14802,0.15700,0.60950,0.74127
combined,0.0,active_entropy_query_policy,5,120,0.50000,0.88770,0.03333,0.21961,0.32767,0.69800,0.12500,0.05342,0.05000,0.14410,0.16425,0.62623,0.78361
combined,0.0,active_entropy_query_policy,6,120,0.48333,0.82158,0.05000,0.22038,0.33805,0.68108,0.12500,0.05420,0.06667,0.15186,0.17108,0.63262,0.73715
combined,0.0,active_entropy_query_policy,7,120,0.45833,0.82637,0.06667,0.20191,0.35003,0.69163,0.19167,0.06461,0.04167,0.14347,0.16011,0.62547,0.71208
combined,0.0,active_entropy_query_policy,8,120,0.50833,0.91612,0.04167,0.22778,0.33010,0.65691,0.18333,0.07147,0.04167,0.15439,0.16844,0.61411,0.78943
combined,0.0,active_entropy_query_policy,9,120,0.47500,0.87620,0.03333,0.21059,0.34021,0.70785,0.20833,0.07126,0.02500,0.13362,0.16313,0.61541,0.76302
combined,0.0,full_demo_imitation,0,120,0.58333,1.14769,0.03333,0.30481,0.20294,0.68224,1.00000,0.62508,0.05000,0.07041,0.09636,0.44567,0.88734
combined,0.0,full_demo_imitation,1,120,0.59167,1.08045,0.05833,0.29336,0.24481,0.66456,1.00000,0.61775,0.06667,0.06932,0.09664,0.45581,0.86175
combined,0.0,full_demo_imitation,2,120,0.58333,1.08338,0.02500,0.31053,0.22212,0.67461,1.00000,0.62874,0.02500,0.07109,0.09823,0.46179,0.88417
combined,0.0,full_demo_imitation,3,120,0.55000,0.98228,0.03333,0.31553,0.21333,0.66622,1.00000,0.63194,0.10000,0.07640,0.10911,0.45353,0.80162
combined,0.0,full_demo_imitation,4,120,0.58333,1.11296,0.02500,0.30761,0.21651,0.68573,1.00000,0.62687,0.03333,0.07111,0.09570,0.43730,0.88865
combined,0.0,full_demo_imitation,5,120,0.50000,0.89340,0.04167,0.31416,0.22757,0.70574,1.00000,0.63106,0.02500,0.07322,0.09712,0.45493,0.75398
combined,0.0,full_demo_imitation,6,120,0.50833,0.94550,0.05000,0.31615,0.21476,0.68733,1.00000,0.63233,0.02500,0.06853,0.09771,0.45645,0.76706
combined,0.0,full_demo_imitation,7,120,0.61667,1.21403,0.05000,0.28741,0.24979,0.68855,1.00000,0.61394,0.04167,0.07755,0.09788,0.44440,0.93019
combined,0.0,full_demo_imitation,8,120,0.60000,1.14779,0.05833,0.32014,0.24290,0.65727,1.00000,0.63489,0.05833,0.07880,0.10052,0.44024,0.88474
combined,0.0,full_demo_imitation,9,120,0.57500,1.03454,0.02500,0.29786,0.23038,0.69529,1.00000,0.62063,0.05000,0.06538,0.09673,0.44937,0.86053
combined,0.0,minimum_intervention_boundary_learner_v5,0,120,0.60833,1.15807,0.02500,0.31206,0.18318,0.70387,0.18333,0.06636,0.00000,0.20830,0.06822,0.43899,0.96058
combined,0.0,minimum_intervention_boundary_learner_v5,1,120,0.51667,0.99638,0.02500,0.29963,0.20082,0.69076,0.10833,0.04787,0.00000,0.21230,0.06902,0.44505,0.83277
combined,0.0,minimum_intervention_boundary_learner_v5,2,120,0.61667,1.23592,0.04167,0.32080,0.19741,0.71032,0.10000,0.04520,0.00000,0.21121,0.06945,0.44364,0.97939
combined,0.0,minimum_intervention_boundary_learner_v5,3,120,0.60833,1.14454,0.03333,0.32426,0.17544,0.68865,0.16667,0.06159,0.00000,0.21228,0.06996,0.44995,0.95205
combined,0.0,minimum_intervention_boundary_learner_v5,4,120,0.55833,1.07530,0.05833,0.30809,0.22410,0.70823,0.12500,0.05747,0.00000,0.22325,0.06848,0.45170,0.87663
combined,0.0,minimum_intervention_boundary_learner_v5,5,120,0.55000,1.12225,0.02500,0.32132,0.17171,0.72117,0.10833,0.04988,0.00000,0.20754,0.05806,0.44318,0.89756
combined,0.0,minimum_intervention_boundary_learner_v5,6,120,0.54167,1.02428,0.02500,0.32385,0.20502,0.71016,0.11667,0.05036,0.00000,0.21406,0.06491,0.45076,0.86660
combined,0.0,minimum_intervention_boundary_learner_v5,7,120,0.55833,1.15831,0.01667,0.29314,0.21217,0.71717,0.10000,0.05011,0.00000,0.21330,0.06569,0.44485,0.91772
combined,0.0,minimum_intervention_boundary_learner_v5,8,120,0.60000,1.19161,0.05000,0.31786,0.19071,0.68254,0.09167,0.04508,0.00000,0.22001,0.07108,0.45184,0.94545
combined,0.0,minimum_intervention_boundary_learner_v5,9,120,0.63333,1.35065,0.05000,0.30358,0.18522,0.73253,0.15000,0.05304,0.00000,0.19491,0.06426,0.43522,1.01908
combined,0.0,oracle_minimal_correction,0,120,0.65833,1.29038,0.02500,0.29991,0.15990,0.67361,1.00000,0.27194,0.00000,0.32267,0.02741,0.46704,1.02790
combined,0.0,oracle_minimal_correction,1,120,0.64167,1.31915,0.05833,0.29187,0.16938,0.66740,1.00000,0.26679,0.00000,0.32911,0.02755,0.46621,0.99961
combined,0.0,oracle_minimal_correction,2,120,0.64167,1.29059,0.02500,0.31069,0.15948,0.68003,1.00000,0.27884,0.00000,0.32437,0.02722,0.46622,1.01176
combined,0.0,oracle_minimal_correction,3,120,0.64167,1.19183,0.02500,0.31525,0.14226,0.66083,1.00000,0.28176,0.00000,0.32697,0.02810,0.46639,0.98742
combined,0.0,oracle_minimal_correction,4,120,0.63333,1.25352,0.05000,0.29809,0.19318,0.67995,1.00000,0.27078,0.00000,0.33603,0.02767,0.47589,0.98311
combined,0.0,oracle_minimal_correction,5,120,0.66667,1.38485,0.03333,0.30472,0.16472,0.69507,1.00000,0.27502,0.00000,0.33111,0.02700,0.47725,1.05585
combined,0.0,oracle_minimal_correction,6,120,0.60000,1.15509,0.02500,0.31075,0.16934,0.68261,1.00000,0.27888,0.00000,0.33191,0.02709,0.47449,0.94104
combined,0.0,oracle_minimal_correction,7,120,0.58333,1.15632,0.02500,0.28056,0.18393,0.69074,1.00000,0.25956,0.00000,0.33027,0.02720,0.47299,0.92649
combined,0.0,oracle_minimal_correction,8,120,0.61667,1.21078,0.04167,0.30886,0.14488,0.65599,1.00000,0.27767,0.00000,0.33244,0.02787,0.46893,0.95760
combined,0.0,oracle_minimal_correction,9,120,0.61667,1.25487,0.05000,0.28995,0.15477,0.70332,1.00000,0.26557,0.00000,0.31404,0.02643,0.46469,0.96945
combined,0.0,residual_correction_learner,0,120,0.57500,1.01668,0.06667,0.27740,0.33147,0.64190,1.00000,0.25754,0.04167,0.09973,0.15220,0.48006,0.84820
combined,0.0,residual_correction_learner,1,120,0.50000,0.91722,0.03333,0.27045,0.35519,0.61301,1.00000,0.25309,0.05000,0.10187,0.14777,0.48841,0.76318
combined,0.0,residual_correction_learner,2,120,0.57500,0.99568,0.04167,0.29484,0.26231,0.63047,1.00000,0.26870,0.04167,0.08573,0.13120,0.47753,0.85446
combined,0.0,residual_correction_learner,3,120,0.50000,0.80866,0.01667,0.28916,0.31396,0.62291,1.00000,0.26507,0.05000,0.10063,0.15789,0.48413,0.74850
combined,0.0,residual_correction_learner,4,120,0.58333,1.00591,0.06667,0.27594,0.32128,0.63487,1.00000,0.25660,0.05833,0.10172,0.14711,0.48567,0.84890
combined,0.0,residual_correction_learner,5,120,0.45833,0.79186,0.02500,0.29320,0.30072,0.65242,1.00000,0.26765,0.10000,0.09112,0.13938,0.48098,0.68836
combined,0.0,residual_correction_learner,6,120,0.50833,0.83670,0.02500,0.28062,0.31601,0.64740,1.00000,0.25960,0.05833,0.10519,0.15478,0.50909,0.76101
combined,0.0,residual_correction_learner,7,120,0.55833,0.99862,0.04167,0.26677,0.30989,0.64969,1.00000,0.25073,0.05833,0.08682,0.13239,0.47266,0.83684
combined,0.0,residual_correction_learner,8,120,0.50000,0.91367,0.02500,0.30069,0.30751,0.60719,1.00000,0.27244,0.07500,0.08982,0.13880,0.46090,0.75673
combined,0.0,residual_correction_learner,9,120,0.50000,0.94768,0.05000,0.27631,0.31920,0.64161,1.00000,0.25684,0.08333,0.08221,0.14012,0.46790,0.75440
combined,0.0,robust_mpc_correction,0,120,0.63333,1.39825,0.04167,0.33224,0.13754,0.64500,1.00000,0.29263,0.00000,0.02991,0.04615,0.40793,1.01036
combined,0.0,robust_mpc_correction,1,120,0.50833,1.08934,0.03333,0.32429,0.15011,0.63659,1.00000,0.28755,0.00000,0.03272,0.04517,0.40639,0.82079
combined,0.0,robust_mpc_correction,2,120,0.57500,1.21210,0.05833,0.34517,0.14604,0.65337,1.00000,0.30091,0.00000,0.03010,0.04664,0.40539,0.90300
combined,0.0,robust_mpc_correction,3,120,0.61667,1.26595,0.05000,0.34846,0.13828,0.63299,1.00000,0.30302,0.00000,0.03773,0.04954,0.40995,0.95833
combined,0.0,robust_mpc_correction,4,120,0.60833,1.30148,0.02500,0.33130,0.16617,0.64812,1.00000,0.29203,0.00000,0.04023,0.04614,0.41421,0.97348
combined,0.0,robust_mpc_correction,5,120,0.65000,1.37081,0.05000,0.33997,0.15896,0.67135,1.00000,0.29758,0.00000,0.03722,0.04651,0.41446,1.02019
combined,0.0,robust_mpc_correction,6,120,0.65000,1.34474,0.01667,0.34522,0.16238,0.65839,1.00000,0.30094,0.00000,0.03766,0.04698,0.41433,1.02994
combined,0.0,robust_mpc_correction,7,120,0.55833,1.29968,0.01667,0.31427,0.15716,0.65888,1.00000,0.28113,0.00000,0.03308,0.04510,0.40851,0.92902
combined,0.0,robust_mpc_correction,8,120,0.61667,1.31365,0.01667,0.34295,0.13778,0.63083,1.00000,0.29949,0.00000,0.03862,0.04733,0.41256,0.98616
combined,0.0,robust_mpc_correction,9,120,0.57500,1.29517,0.03333,0.31908,0.16784,0.67329,1.00000,0.28421,0.00000,0.02798,0.05131,0.40979,0.93783
combined,0.0,uncertainty_query_policy,0,120,0.51667,0.89087,0.03333,0.21967,0.34639,0.62843,0.31667,0.10300,0.05833,0.13264,0.17648,0.61272,0.78669
combined,0.0,uncertainty_query_policy,1,120,0.48333,0.83858,0.02500,0.20810,0.34579,0.61906,0.30000,0.08739,0.05833,0.13697,0.17886,0.60193,0.74513
combined,0.0,uncertainty_query_policy,2,120,0.46667,0.79465,0.01667,0.21848,0.35365,0.62985,0.28333,0.09058,0.04167,0.14312,0.18851,0.61663,0.72979
combined,0.0,uncertainty_query_policy,3,120,0.49167,0.86745,0.06667,0.23077,0.34494,0.61341,0.29167,0.10142,0.04167,0.14368,0.18853,0.60968,0.74184
combined,0.0,uncertainty_query_policy,4,120,0.38333,0.71412,0.05833,0.20811,0.36193,0.62979,0.25000,0.07973,0.05000,0.14656,0.18537,0.61822,0.60530
combined,0.0,uncertainty_query_policy,5,120,0.49167,0.82739,0.01667,0.21575,0.37435,0.65342,0.22500,0.08225,0.05000,0.14031,0.19040,0.63479,0.76401
combined,0.0,uncertainty_query_policy,6,120,0.52500,0.90635,0.05833,0.22279,0.33797,0.63998,0.29167,0.09665,0.03333,0.13821,0.17966,0.62341,0.79475
combined,0.0,uncertainty_query_policy,7,120,0.45000,0.80121,0.04167,0.19585,0.38838,0.64009,0.25833,0.08249,0.07500,0.14084,0.18194,0.62647,0.69442
combined,0.0,uncertainty_query_policy,8,120,0.45000,0.78551,0.05000,0.22954,0.35222,0.61451,0.26667,0.09575,0.03333,0.14080,0.18317,0.60908,0.69351
combined,0.0,uncertainty_query_policy,9,120,0.45000,0.78036,0.01667,0.20021,0.37359,0.64698,0.25833,0.08411,0.05833,0.12929,0.18793,0.63795,0.70890
combined,0.2,active_entropy_query_policy,0,120,0.43333,0.65486,0.01667,0.25171,0.34929,0.63801,0.17500,0.07077,0.05833,0.16315,0.19753,0.62168,0.66324
combined,0.2,active_entropy_query_policy,1,120,0.32500,0.52769,0.03333,0.26001,0.35569,0.63610,0.16667,0.07214,0.05000,0.17561,0.21163,0.62717,0.52057
combined,0.2,active_entropy_query_policy,2,120,0.40833,0.65758,0.09167,0.24840,0.34059,0.64157,0.23333,0.07915,0.05833,0.15700,0.18104,0.61381,0.59953
combined,0.2,active_entropy_query_policy,3,120,0.45833,0.72595,0.00833,0.24246,0.37228,0.62148,0.13333,0.05658,0.05000,0.18186,0.22121,0.63382,0.70965
combined,0.2,active_entropy_query_policy,4,120,0.42500,0.70563,0.04167,0.26037,0.35207,0.61044,0.20833,0.07643,0.05000,0.18089,0.18566,0.61768,0.65137
combined,0.2,active_entropy_query_policy,5,120,0.41667,0.70184,0.03333,0.25165,0.33559,0.61437,0.12500,0.05392,0.08333,0.17293,0.20386,0.61385,0.63854
combined,0.2,active_entropy_query_policy,6,120,0.45000,0.69921,0.06667,0.25163,0.35211,0.63881,0.12500,0.05294,0.08333,0.16840,0.20086,0.62428,0.65770
combined,0.2,active_entropy_query_policy,7,120,0.43333,0.69726,0.06667,0.25226,0.31638,0.63868,0.19167,0.06715,0.06667,0.15665,0.19557,0.62207,0.64451
combined,0.2,active_entropy_query_policy,8,120,0.46667,0.76177,0.03333,0.24786,0.35296,0.61286,0.18333,0.06696,0.05000,0.17536,0.21984,0.62662,0.71091
combined,0.2,active_entropy_query_policy,9,120,0.46667,0.79814,0.03333,0.25647,0.33803,0.61136,0.20833,0.08187,0.06667,0.16533,0.18222,0.60777,0.71244
combined,0.2,full_demo_imitation,0,120,0.50000,0.73616,0.07500,0.40216,0.36370,0.64785,1.00000,0.68738,0.08333,0.10449,0.15826,0.38013,0.67192
combined,0.2,full_demo_imitation,1,120,0.45000,0.64453,0.08333,0.40604,0.44293,0.64067,1.00000,0.68987,0.13333,0.13810,0.19483,0.38233,0.58249
combined,0.2,full_demo_imitation,2,120,0.43333,0.66254,0.06667,0.38369,0.40414,0.63600,1.00000,0.67556,0.07500,0.11190,0.16662,0.38126,0.59477
combined,0.2,full_demo_imitation,3,120,0.51667,0.76743,0.07500,0.38585,0.40340,0.62708,1.00000,0.67694,0.14167,0.11766,0.17483,0.39588,0.67769
combined,0.2,full_demo_imitation,4,120,0.50000,0.67022,0.07500,0.38609,0.43083,0.63493,1.00000,0.67710,0.06667,0.13420,0.18044,0.40347,0.66203
combined,0.2,full_demo_imitation,5,120,0.44167,0.63873,0.04167,0.38832,0.38969,0.62048,1.00000,0.67853,0.04167,0.11748,0.17301,0.39764,0.61886
combined,0.2,full_demo_imitation,6,120,0.49167,0.68513,0.10833,0.40770,0.38556,0.64959,1.00000,0.69093,0.04167,0.11289,0.15684,0.37685,0.64659
combined,0.2,full_demo_imitation,7,120,0.52500,0.75407,0.05833,0.38048,0.40495,0.63783,1.00000,0.67350,0.10000,0.11945,0.17707,0.40628,0.70549
combined,0.2,full_demo_imitation,8,120,0.48333,0.64370,0.06667,0.37019,0.43965,0.64270,1.00000,0.66692,0.12500,0.13794,0.21694,0.41173,0.62941
combined,0.2,full_demo_imitation,9,120,0.42500,0.67334,0.05000,0.40497,0.36214,0.61387,1.00000,0.68918,0.07500,0.10222,0.14545,0.35928,0.59289
combined,0.2,minimum_intervention_boundary_learner_v5,0,120,0.58333,1.01808,0.04167,0.34864,0.18606,0.65313,0.13333,0.05542,0.00000,0.15594,0.08437,0.47397,0.89176
combined,0.2,minimum_intervention_boundary_learner_v5,1,120,0.46667,0.80556,0.01667,0.35857,0.17807,0.65735,0.16667,0.06511,0.00000,0.16280,0.09158,0.47533,0.74152
combined,0.2,minimum_intervention_boundary_learner_v5,2,120,0.57500,1.06496,0.05000,0.34007,0.19993,0.65491,0.17500,0.06913,0.00000,0.15185,0.07970,0.46584,0.88861
combined,0.2,minimum_intervention_boundary_learner_v5,3,120,0.60833,1.10076,0.03333,0.34410,0.19607,0.63757,0.15833,0.06298,0.00000,0.16073,0.09463,0.47971,0.93720
combined,0.2,minimum_intervention_boundary_learner_v5,4,120,0.50833,0.85908,0.05833,0.34914,0.22538,0.63391,0.20833,0.07739,0.00000,0.17972,0.08279,0.48674,0.77026
combined,0.2,minimum_intervention_boundary_learner_v5,5,120,0.52500,0.95281,0.04167,0.35047,0.17894,0.63511,0.15000,0.06133,0.00000,0.15993,0.08784,0.46886,0.81620
combined,0.2,minimum_intervention_boundary_learner_v5,6,120,0.52500,0.92066,0.02500,0.35929,0.18204,0.65609,0.15000,0.06087,0.00000,0.15171,0.07703,0.46514,0.82036
combined,0.2,minimum_intervention_boundary_learner_v5,7,120,0.58333,1.02810,0.02500,0.35524,0.16802,0.65761,0.22500,0.08436,0.00000,0.14197,0.08254,0.46344,0.90138
combined,0.2,minimum_intervention_boundary_learner_v5,8,120,0.55000,0.96621,0.05833,0.34841,0.17904,0.63218,0.20833,0.07461,0.00000,0.15414,0.09954,0.47349,0.83473
combined,0.2,minimum_intervention_boundary_learner_v5,9,120,0.52500,1.01139,0.05000,0.34201,0.20163,0.63154,0.10000,0.04305,0.00000,0.17071,0.08545,0.46908,0.82512
combined,0.2,oracle_minimal_correction,0,120,0.66667,1.21670,0.02500,0.35067,0.13738,0.63405,1.00000,0.30443,0.00000,0.33051,0.02965,0.47112,1.01362
combined,0.2,oracle_minimal_correction,1,120,0.65000,1.14728,0.06667,0.36988,0.13560,0.64125,1.00000,0.31673,0.00000,0.33256,0.02938,0.46743,0.96022
combined,0.2,oracle_minimal_correction,2,120,0.63333,1.21142,0.02500,0.33628,0.15133,0.63827,1.00000,0.29522,0.00000,0.33498,0.02921,0.46837,0.97995
combined,0.2,oracle_minimal_correction,3,120,0.66667,1.23454,0.02500,0.35478,0.12845,0.61905,1.00000,0.30706,0.00000,0.32803,0.03051,0.46445,1.01515
combined,0.2,oracle_minimal_correction,4,120,0.62500,1.02476,0.05000,0.35249,0.19193,0.61702,1.00000,0.30559,0.00000,0.36159,0.03089,0.48389,0.91510
combined,0.2,oracle_minimal_correction,5,120,0.65000,1.16666,0.03333,0.35652,0.12953,0.62277,1.00000,0.30817,0.00000,0.33302,0.02990,0.46713,0.97978
combined,0.2,oracle_minimal_correction,6,120,0.58333,1.00808,0.02500,0.35612,0.15572,0.64107,1.00000,0.30792,0.00000,0.33580,0.02963,0.47437,0.88531
combined,0.2,oracle_minimal_correction,7,120,0.60000,1.12438,0.02500,0.35532,0.13392,0.64336,1.00000,0.30741,0.00000,0.32609,0.03020,0.46746,0.92754
combined,0.2,oracle_minimal_correction,8,120,0.65000,1.15977,0.04167,0.36428,0.12624,0.61766,1.00000,0.31314,0.00000,0.32140,0.03102,0.45746,0.97256
combined,0.2,oracle_minimal_correction,9,120,0.61667,1.15611,0.05833,0.34286,0.14252,0.61640,1.00000,0.29943,0.00000,0.34195,0.02950,0.46995,0.93083
combined,0.2,residual_correction_learner,0,120,0.55000,0.83949,0.05000,0.31849,0.33823,0.60365,1.00000,0.28383,0.08333,0.11882,0.17615,0.50339,0.77623
combined,0.2,residual_correction_learner,1,120,0.41667,0.64705,0.03333,0.32258,0.41407,0.62035,1.00000,0.28645,0.08333,0.14895,0.20486,0.51336,0.61177
combined,0.2,residual_correction_learner,2,120,0.46667,0.71580,0.04167,0.29983,0.41475,0.60946,1.00000,0.27189,0.07500,0.14218,0.20123,0.51671,0.67431
combined,0.2,residual_correction_learner,3,120,0.50000,0.78393,0.04167,0.31555,0.46326,0.58896,1.00000,0.28195,0.05833,0.15293,0.21219,0.50084,0.72338
combined,0.2,residual_correction_learner,4,120,0.42500,0.59599,0.05833,0.29926,0.44799,0.59771,1.00000,0.27153,0.06667,0.16164,0.20742,0.53825,0.59951
combined,0.2,residual_correction_learner,5,120,0.39167,0.62621,0.03333,0.31012,0.45204,0.58862,1.00000,0.27847,0.11667,0.15619,0.21681,0.51213,0.56903
combined,0.2,residual_correction_learner,6,120,0.49167,0.71277,0.04167,0.32529,0.41071,0.61749,1.00000,0.28819,0.09167,0.13370,0.19087,0.50052,0.69347
combined,0.2,residual_correction_learner,7,120,0.52500,0.74866,0.04167,0.31378,0.41649,0.60511,1.00000,0.28082,0.08333,0.13628,0.19823,0.51927,0.73670
combined,0.2,residual_correction_learner,8,120,0.40000,0.60093,0.03333,0.29116,0.45134,0.58184,1.00000,0.26634,0.10000,0.16595,0.23949,0.53331,0.57719
combined,0.2,residual_correction_learner,9,120,0.43333,0.69158,0.07500,0.32403,0.37408,0.57124,1.00000,0.28738,0.12500,0.11809,0.17304,0.48335,0.59698
combined,0.2,robust_mpc_correction,0,120,0.60000,1.16142,0.03333,0.38200,0.13259,0.61002,1.00000,0.32448,0.00000,0.03475,0.05495,0.42212,0.92399
combined,0.2,robust_mpc_correction,1,120,0.48333,0.88762,0.02500,0.40185,0.12569,0.61328,1.00000,0.33718,0.00000,0.03364,0.05292,0.41838,0.75108
combined,0.2,robust_mpc_correction,2,120,0.55833,1.09507,0.07500,0.37023,0.13744,0.61377,1.00000,0.31695,0.00000,0.03549,0.05029,0.41611,0.84658
combined,0.2,robust_mpc_correction,3,120,0.61667,1.18374,0.03333,0.38551,0.13696,0.59519,1.00000,0.32673,0.00000,0.03288,0.05609,0.41875,0.94337
combined,0.2,robust_mpc_correction,4,120,0.61667,1.17580,0.02500,0.39433,0.14841,0.59020,1.00000,0.33237,0.00000,0.04566,0.04640,0.41908,0.94507
combined,0.2,robust_mpc_correction,5,120,0.63333,1.20812,0.04167,0.38817,0.12811,0.59676,1.00000,0.32843,0.00000,0.03605,0.05558,0.41788,0.96115
combined,0.2,robust_mpc_correction,6,120,0.60833,1.18032,0.01667,0.38970,0.13840,0.61579,1.00000,0.32941,0.00000,0.03315,0.05110,0.42285,0.94571
combined,0.2,robust_mpc_correction,7,120,0.57500,1.13811,0.02500,0.38932,0.13680,0.61909,1.00000,0.32917,0.00833,0.02903,0.05569,0.41525,0.89648
combined,0.2,robust_mpc_correction,8,120,0.60833,1.18100,0.03333,0.39249,0.11981,0.59058,1.00000,0.33119,0.00000,0.02869,0.05644,0.41259,0.93332
combined,0.2,robust_mpc_correction,9,120,0.56667,1.08417,0.03333,0.37294,0.13345,0.58723,1.00000,0.31868,0.00000,0.04239,0.05234,0.42294,0.87100
combined,0.2,uncertainty_query_policy,0,120,0.50000,0.78561,0.04167,0.28789,0.31744,0.61005,0.55000,0.17685,0.10000,0.13728,0.19248,0.56297,0.72266
combined,0.2,uncertainty_query_policy,1,120,0.43333,0.64011,0.05000,0.28377,0.41521,0.60708,0.52500,0.16391,0.06667,0.18734,0.23320,0.56500,0.62929
combined,0.2,uncertainty_query_policy,2,120,0.42500,0.62616,0.02500,0.26013,0.39663,0.60784,0.50000,0.15004,0.09167,0.16183,0.20931,0.58025,0.62537
combined,0.2,uncertainty_query_policy,3,120,0.48333,0.76170,0.08333,0.28275,0.35379,0.59191,0.60000,0.18677,0.06667,0.16207,0.20978,0.56420,0.68566
combined,0.2,uncertainty_query_policy,4,120,0.37500,0.55787,0.05833,0.28576,0.35523,0.59233,0.58333,0.18134,0.08333,0.16527,0.18986,0.56990,0.54140
combined,0.2,uncertainty_query_policy,5,120,0.49167,0.77703,0.03333,0.28757,0.33862,0.59538,0.55833,0.17871,0.09167,0.15237,0.19517,0.56033,0.71699
combined,0.2,uncertainty_query_policy,6,120,0.50833,0.78935,0.06667,0.28615,0.35590,0.61306,0.55833,0.17276,0.05000,0.15536,0.20278,0.55829,0.73316
combined,0.2,uncertainty_query_policy,7,120,0.46667,0.71380,0.05000,0.27805,0.37601,0.60569,0.60833,0.18445,0.11667,0.16167,0.21179,0.57005,0.66398
combined,0.2,uncertainty_query_policy,8,120,0.39167,0.61913,0.06667,0.27524,0.35546,0.59711,0.58333,0.17551,0.06667,0.16757,0.22050,0.56714,0.57263
combined,0.2,uncertainty_query_policy,9,120,0.44167,0.72633,0.02500,0.28222,0.34845,0.58261,0.48333,0.15831,0.07500,0.15187,0.19035,0.55538,0.66384
combined,0.4,active_entropy_query_policy,0,120,0.45833,0.70979,0.02500,0.34349,0.28810,0.58688,0.78333,0.24451,0.09167,0.17717,0.17208,0.55839,0.66903
combined,0.4,active_entropy_query_policy,1,120,0.40000,0.65309,0.04167,0.32448,0.29181,0.57558,0.75833,0.23050,0.06667,0.18001,0.17580,0.56911,0.59626
combined,0.4,active_entropy_query_policy,2,120,0.42500,0.66991,0.07500,0.34250,0.29816,0.59053,0.75833,0.23966,0.06667,0.17148,0.16954,0.55334,0.60837
combined,0.4,active_entropy_query_policy,3,120,0.46667,0.70165,0.00833,0.34153,0.30277,0.58390,0.77500,0.24072,0.05000,0.18432,0.18239,0.56459,0.69600
combined,0.4,active_entropy_query_policy,4,120,0.47500,0.71806,0.05000,0.32942,0.30274,0.57490,0.77500,0.23872,0.07500,0.18688,0.16872,0.57484,0.67871
combined,0.4,active_entropy_query_policy,5,120,0.51667,0.78320,0.05000,0.36056,0.27461,0.56954,0.75833,0.25009,0.10000,0.17353,0.17013,0.55168,0.72534
combined,0.4,active_entropy_query_policy,6,120,0.48333,0.79324,0.07500,0.31789,0.30148,0.59058,0.80833,0.23777,0.12500,0.18186,0.17690,0.57398,0.67862
combined,0.4,active_entropy_query_policy,7,120,0.38333,0.61862,0.07500,0.35302,0.28430,0.57387,0.75000,0.24802,0.09167,0.17644,0.16093,0.55513,0.54596
combined,0.4,active_entropy_query_policy,8,120,0.50833,0.77612,0.05833,0.34078,0.30728,0.57970,0.75000,0.24251,0.07500,0.19187,0.17761,0.56550,0.72047
combined,0.4,active_entropy_query_policy,9,120,0.53333,0.88186,0.04167,0.32318,0.30387,0.58401,0.79167,0.23760,0.06667,0.19797,0.18653,0.57006,0.78074
combined,0.4,full_demo_imitation,0,120,0.39167,0.46627,0.07500,0.49180,0.51979,0.59224,1.00000,0.74475,0.09167,0.16148,0.23758,0.35574,0.49084
combined,0.4,full_demo_imitation,1,120,0.40000,0.49585,0.08333,0.45428,0.49142,0.57449,1.00000,0.72074,0.14167,0.15996,0.23767,0.38216,0.48745
combined,0.4,full_demo_imitation,2,120,0.39167,0.45973,0.10000,0.52841,0.50429,0.61506,1.00000,0.76818,0.14167,0.15665,0.21593,0.30813,0.46194
combined,0.4,full_demo_imitation,3,120,0.39167,0.44075,0.08333,0.49563,0.56893,0.61325,1.00000,0.74720,0.20833,0.16908,0.24793,0.35663,0.45090
combined,0.4,full_demo_imitation,4,120,0.44167,0.54122,0.10000,0.46133,0.55829,0.59053,1.00000,0.72525,0.10000,0.16524,0.24060,0.38289,0.54401
combined,0.4,full_demo_imitation,5,120,0.41667,0.47715,0.09167,0.50933,0.49295,0.58922,1.00000,0.75597,0.07500,0.15667,0.22275,0.35984,0.51354
combined,0.4,full_demo_imitation,6,120,0.35833,0.40307,0.13333,0.47889,0.51066,0.60068,1.00000,0.73649,0.10833,0.15417,0.23793,0.35614,0.41010
combined,0.4,full_demo_imitation,7,120,0.43333,0.49633,0.12500,0.52801,0.52067,0.59679,1.00000,0.76793,0.18333,0.15889,0.22616,0.33255,0.48585
combined,0.4,full_demo_imitation,8,120,0.40000,0.47826,0.08333,0.50828,0.54692,0.58422,1.00000,0.75530,0.11667,0.17055,0.24138,0.33783,0.48807
